cohort_week,weeks_since_signup,active_users,cohort_size,retention_pct
2024-12-29 18:30:00+00:00,0,751,801,93.8
2024-12-29 18:30:00+00:00,1,766,801,95.6
2024-12-29 18:30:00+00:00,2,708,801,88.4
2024-12-29 18:30:00+00:00,3,650,801,81.1
2024-12-29 18:30:00+00:00,4,642,801,80.1
2024-12-29 18:30:00+00:00,5,626,801,78.2
2024-12-29 18:30:00+00:00,6,636,801,79.4
2024-12-29 18:30:00+00:00,7,633,801,79.0
2024-12-29 18:30:00+00:00,8,621,801,77.5
2024-12-29 18:30:00+00:00,9,622,801,77.7
2024-12-29 18:30:00+00:00,10,626,801,78.2
2024-12-29 18:30:00+00:00,11,631,801,78.8
2024-12-29 18:30:00+00:00,12,617,801,77.0
2025-01-05 18:30:00+00:00,0,1044,1101,94.8
2025-01-05 18:30:00+00:00,1,1045,1101,94.9
2025-01-05 18:30:00+00:00,2,965,1101,87.6
2025-01-05 18:30:00+00:00,3,873,1101,79.3
2025-01-05 18:30:00+00:00,4,843,1101,76.6
2025-01-05 18:30:00+00:00,5,852,1101,77.4
2025-01-05 18:30:00+00:00,6,830,1101,75.4
2025-01-05 18:30:00+00:00,7,832,1101,75.6
2025-01-05 18:30:00+00:00,8,828,1101,75.2
2025-01-05 18:30:00+00:00,9,858,1101,77.9
2025-01-05 18:30:00+00:00,10,841,1101,76.4
2025-01-05 18:30:00+00:00,11,831,1101,75.5
2025-01-05 18:30:00+00:00,12,837,1101,76.0
2025-01-12 18:30:00+00:00,0,1063,1129,94.2
2025-01-12 18:30:00+00:00,1,1052,1129,93.2
2025-01-12 18:30:00+00:00,2,975,1129,86.4
2025-01-12 18:30:00+00:00,3,900,1129,79.7
2025-01-12 18:30:00+00:00,4,871,1129,77.1
2025-01-12 18:30:00+00:00,5,858,1129,76.0
2025-01-12 18:30:00+00:00,6,862,1129,76.4
2025-01-12 18:30:00+00:00,7,857,1129,75.9
2025-01-12 18:30:00+00:00,8,851,1129,75.4
2025-01-12 18:30:00+00:00,9,863,1129,76.4
2025-01-12 18:30:00+00:00,10,868,1129,76.9
2025-01-12 18:30:00+00:00,11,860,1129,76.2
2025-01-12 18:30:00+00:00,12,855,1129,75.7
2025-01-19 18:30:00+00:00,0,1048,1096,95.6
2025-01-19 18:30:00+00:00,1,1039,1096,94.8
2025-01-19 18:30:00+00:00,2,924,1096,84.3
2025-01-19 18:30:00+00:00,3,858,1096,78.3
2025-01-19 18:30:00+00:00,4,850,1096,77.6
2025-01-19 18:30:00+00:00,5,839,1096,76.6
2025-01-19 18:30:00+00:00,6,847,1096,77.3
2025-01-19 18:30:00+00:00,7,839,1096,76.6
2025-01-19 18:30:00+00:00,8,861,1096,78.6
2025-01-19 18:30:00+00:00,9,836,1096,76.3
2025-01-19 18:30:00+00:00,10,867,1096,79.1
2025-01-19 18:30:00+00:00,11,827,1096,75.5
2025-01-19 18:30:00+00:00,12,675,1096,61.6
2025-01-26 18:30:00+00:00,0,997,1034,96.4
2025-01-26 18:30:00+00:00,1,978,1034,94.6
2025-01-26 18:30:00+00:00,2,881,1034,85.2
2025-01-26 18:30:00+00:00,3,830,1034,80.3
2025-01-26 18:30:00+00:00,4,798,1034,77.2
2025-01-26 18:30:00+00:00,5,808,1034,78.1
2025-01-26 18:30:00+00:00,6,792,1034,76.6
2025-01-26 18:30:00+00:00,7,798,1034,77.2
2025-01-26 18:30:00+00:00,8,788,1034,76.2
2025-01-26 18:30:00+00:00,9,781,1034,75.5
2025-01-26 18:30:00+00:00,10,773,1034,74.8
2025-01-26 18:30:00+00:00,11,620,1034,60.0
2025-01-26 18:30:00+00:00,12,774,1034,74.9
2025-02-02 18:30:00+00:00,0,666,696,95.7
2025-02-02 18:30:00+00:00,1,655,696,94.1
2025-02-02 18:30:00+00:00,2,602,696,86.5
2025-02-02 18:30:00+00:00,3,563,696,80.9
2025-02-02 18:30:00+00:00,4,530,696,76.1
2025-02-02 18:30:00+00:00,5,529,696,76.0
2025-02-02 18:30:00+00:00,6,547,696,78.6
2025-02-02 18:30:00+00:00,7,517,696,74.3
2025-02-02 18:30:00+00:00,8,540,696,77.6
